python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_cpus_utilized,mean_cpus_utilized,best_ipc,mean_ipc,best_cache_miss_ratio,mean_cache_miss_ratio
3.13t,CG,W,3,1,1,1,0.76,0.76,1.209,1.209,2.7067824941667107,2.7067824941667107,0.05708068105381417,0.05708068105381417
3.13t,CG,W,3,8,1,1,4.56,4.56,2.623,2.623,1.0099308072748985,1.0099308072748985,0.019505779806363987,0.019505779806363987
3.13t,CG,W,3,32,1,1,5.67,5.67,6.297,6.297,0.4009472502514198,0.4009472502514198,0.33727770916187516,0.33727770916187516
3.13t,IS,W,3,1,1,1,0.03,0.03,3.207,3.207,0.9635610944723971,0.9635610944723971,0.22535583346517535,0.22535583346517535
3.13t,IS,W,3,8,1,1,0.02,0.02,1.689,1.689,1.3600740559800806,1.3600740559800806,0.30758870344168704,0.30758870344168704
3.13t,IS,W,3,32,1,1,0.08,0.08,3.713,3.713,0.9909383231879363,0.9909383231879363,0.23130302066968988,0.23130302066968988
3.13t,MG,W,3,1,1,1,0.45,0.45,2.536,2.536,1.3684549349707416,1.3684549349707416,0.239318304091062,0.239318304091062
3.13t,MG,W,3,8,1,1,0.6,0.6,3.664,3.664,0.8219531935906425,0.8219531935906425,0.6361776455681207,0.6361776455681207
3.13t,MG,W,3,32,1,1,0.91,0.91,4.643,4.643,0.5628072526367284,0.5628072526367284,0.4319783190983635,0.4319783190983635
3.14t,CG,W,3,1,1,1,0.76,0.76,1.202,1.202,2.6585018832612857,2.6585018832612857,0.05830672463792876,0.05830672463792876
3.14t,CG,W,3,8,1,1,4.49,4.49,2.583,2.583,1.018711818620587,1.018711818620587,0.03579101791754661,0.03579101791754661
3.14t,CG,W,3,32,1,1,5.81,5.81,6.052,6.052,0.40832878922124827,0.40832878922124827,0.521971506591084,0.521971506591084
3.14t,EP,W,3,1,1,1,2.87,2.87,1.898,1.898,0.8614512196963465,0.8614512196963465,0.13867477119793406,0.13867477119793406
3.14t,EP,W,3,8,1,1,0.36,0.36,3.093,3.093,1.01891008904166,1.01891008904166,0.2198434511284553,0.2198434511284553
3.14t,EP,W,3,16,1,1,0.37,0.37,5.082,5.082,0.8626102053249497,0.8626102053249497,0.14110317267199493,0.14110317267199493
3.14t,EP,W,3,32,1,1,0.29,0.29,4.682,4.682,0.8955401181603229,0.8955401181603229,0.3331429705564551,0.3331429705564551
3.14t,FT,W,3,1,1,1,5.0,5.0,1.298,1.298,2.1080466908649775,2.1080466908649775,0.13691661096812888,0.13691661096812888
3.14t,FT,W,3,8,1,1,0.67,0.67,5.445,5.445,1.8573026081083048,1.8573026081083048,0.08466782410975761,0.08466782410975761
3.14t,FT,W,3,16,1,1,0.42,0.42,6.814,6.814,1.7687286496277268,1.7687286496277268,0.08080230236425329,0.08080230236425329
3.14t,FT,W,3,32,1,1,0.64,0.64,7.248,7.248,1.546599405183284,1.546599405183284,0.4045048288790552,0.4045048288790552
3.14t,IS,W,3,1,1,1,0.03,0.03,2.875,2.875,1.0189819748042197,1.0189819748042197,0.1979606134300482,0.1979606134300482
3.14t,IS,W,3,8,1,1,0.02,0.02,3.914,3.914,0.9413681580936966,0.9413681580936966,0.24477172894027613,0.24477172894027613
3.14t,IS,W,3,32,1,1,0.08,0.08,3.896,3.896,0.9623234958931391,0.9623234958931391,0.2684588975785627,0.2684588975785627
3.14t,MG,W,3,1,1,1,0.45,0.45,2.64,2.64,1.3437488769348218,1.3437488769348218,0.35006544626675923,0.35006544626675923
3.14t,MG,W,3,8,1,1,0.56,0.56,3.442,3.442,0.7982050090373355,0.7982050090373355,0.6450151773708608,0.6450151773708608
3.14t,MG,W,3,32,1,1,0.81,0.81,5.241,5.241,0.644556717324905,0.644556717324905,0.4144529612007212,0.4144529612007212
3.15t,CG,W,3,1,1,1,0.78,0.78,0.991,0.991,3.0741184338718375,3.0741184338718375,0.06662478761045527,0.06662478761045527
3.15t,CG,W,3,8,1,1,4.59,4.59,2.412,2.412,1.035991272391835,1.035991272391835,0.0297427715416354,0.0297427715416354
3.15t,CG,W,3,32,1,1,6.42,6.42,5.983,5.983,0.386829201634408,0.386829201634408,0.4446223947748891,0.4446223947748891
3.15t,EP,W,3,1,1,1,2.87,2.87,0.966,0.966,1.0892572700700436,1.0892572700700436,0.14808434118023844,0.14808434118023844
3.15t,EP,W,3,8,1,1,0.37,0.37,2.467,2.467,1.024913978539677,1.024913978539677,0.44754760465534404,0.44754760465534404
3.15t,EP,W,3,16,1,1,0.48,0.48,2.553,2.553,1.0896595951826702,1.0896595951826702,0.19341119115910735,0.19341119115910735
3.15t,EP,W,3,32,1,1,0.48,0.48,2.552,2.552,1.091659006118342,1.091659006118342,0.18880470065842106,0.18880470065842106
3.15t,FT,W,3,1,1,1,4.9,4.9,0.973,0.973,2.7077036099265035,2.7077036099265035,0.1397766892091137,0.1397766892091137
3.15t,FT,W,3,8,1,1,0.7,0.7,3.573,3.573,2.4913418428005514,2.4913418428005514,0.30030538443394783,0.30030538443394783
3.15t,FT,W,3,16,1,1,0.41,0.41,4.384,4.384,2.377511418934944,2.377511418934944,0.08223106623948799,0.08223106623948799
3.15t,FT,W,3,32,1,1,0.64,0.64,5.723,5.723,1.8844881974108454,1.8844881974108454,0.4422230661484506,0.4422230661484506
3.15t,IS,W,3,1,1,1,0.03,0.03,0.885,0.885,1.9339043644011664,1.9339043644011664,0.2515165486768421,0.2515165486768421
3.15t,IS,W,3,8,1,1,0.03,0.03,1.083,1.083,1.895332005485052,1.895332005485052,0.23077193580622998,0.23077193580622998
3.15t,IS,W,3,32,1,1,0.08,0.08,1.234,1.234,1.8318639584988798,1.8318639584988798,0.2582179139249991,0.2582179139249991
3.15t,MG,W,3,1,1,1,0.46,0.46,0.926,0.926,2.863249087660987,2.863249087660987,0.24952111413421127,0.24952111413421127
3.15t,MG,W,3,8,1,1,0.6,0.6,3.035,3.035,0.8545528563484095,0.8545528563484095,0.39835860805715345,0.39835860805715345
3.15t,MG,W,3,32,1,1,0.93,0.93,3.953,3.953,0.6548396137165301,0.6548396137165301,0.4068521057455956,0.4068521057455956
